Day,Date,Court,Match ID,Team A,Team B,Gender,Group,Time,Score,Genius Match ID
1,4th January 2026,Indoor Court,1,INDIAN RAILWAYS,DELHI,Women,A,07:00 AM,,2797383.0
1,4th January 2026,Indoor Court,2,KERALA,GUJARAT,Women,B,08:30 AM,,2797384.0
1,4th January 2026,Indoor Court,3,KARNATAKA,GUJARAT,Men,A,10:00 AM,,2797387.0
1,4th January 2026,Indoor Court,4,PUNJAB,UTTAR PRADESH,Men,B,11:30 AM,,2797388.0
1,4th January 2026,Indoor Court,5,MAHARASHTRA,KARNATAKA,Women,A,02:00 PM,,2797389.0
1,4th January 2026,Indoor Court,6,TAMIL NADU,MADHYA PRADESH,Women,B,03:30 PM,,2797390.0
1,4th January 2026,Indoor Court,7,TAMIL NADU,RAJASTHAN,Men,A,05:00 PM,,2797391.0
1,4th January 2026,Indoor Court,8,INDIAN RAILWAYS,DELHI,Men,B,06:30 PM,,2797392.0
2,05-Jan-2026,Indoor Court,30,UTTAR PRADESH,INDIAN RAILWAYS,Men,B,07:00 AM,,2797632.0
2,05-Jan-2026,Indoor Court,31,SERVICES,KARNATAKA,Men,A,08:30 AM,,31.0
2,05-Jan-2026,Indoor Court,32,KARNATAKA,INDIAN RAILWAYS,Women,A,10:00 AM,,2797637.0
2,05-Jan-2026,Indoor Court,33,MADHYA PRADESH,KERALA,Women,B,11:30 AM,,2797636.0
2,05-Jan-2026,Indoor Court,34,CHANDIGARH,DELHI,Men,B,01:00 PM,,2797634.0
2,05-Jan-2026,Indoor Court,35,DELHI,CHHATTISGARH,Women,A,02:30 PM,,2797638.0
2,05-Jan-2026,Indoor Court,36,WEST BENGAL,TAMIL NADU,Women,B,TBD,,2797639.0
2,05-Jan-2026,Indoor Court,37,GUJARAT,TAMIL NADU,Men,A,TBD,,2797635.0
3,06-Jan-2026,Indoor Court,61,KERALA,WEST BENGAL,Women,B,07:00 AM,,2798219.0
3,06-Jan-2026,Indoor Court,62,INDIAN RAILWAYS,MAHARASHTRA,Women,A,08:30 AM,,2798221.0
3,06-Jan-2026,Indoor Court,63,CHHATTISGARH,KARNATAKA,Women,A,10:00 AM,,2798222.0
3,06-Jan-2026,Indoor Court,64,KARNATAKA,RAJASTHAN,Men,A,11:30 AM,,2798223.0
3,06-Jan-2026,Indoor Court,65,GUJARAT,SERVICES,Men,A,02:00 PM,,65.0
3,06-Jan-2026,Indoor Court,66,CHANDIGARH,INDIAN RAILWAYS,Men,B,03:30 PM,,2798225.0
3,06-Jan-2026,Indoor Court,67,MADHYA PRADESH,GUJARAT,Women,B,05:00 PM,,2798220.0
3,06-Jan-2026,Indoor Court,68,DELHI,PUNJAB,Men,B,06:30 PM,,2798226.0
4,07-Jan-2026,Indoor Court,92,RAJASTHAN,SERVICES,Men,A,07:00 AM,88–80,92.0
4,07-Jan-2026,Indoor Court,93,UTTAR PRADESH,CHANDIGARH,Men,B,08:30 AM,89–50,2798608.0
4,07-Jan-2026,Indoor Court,94,CHHATTISGARH,INDIAN RAILWAYS,Women,A,10:00 AM,40–84,2798610.0
