Player,G,GS,Min,PTS,FGM,FGA,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,FG%,DEF,OFF,REB,REB%,AST,AS%,TO,TO%,A/TO,STL,ST%,BLK,BLK%,Tot Fouls,+/-,EFF
Aditya .,1,1,37:57,35,13,24,4,5,80.0,9,19,47.4,0,2,0.0,54.2,3,0,3,0.0,2,0.0,3,10.8,66.7,1,0.0,0,0.0,1,-11,25.0
Aryan .,2,0,24:11,17,6,9,6,9,66.7,0,0,0.0,5,6,83.3,66.7,2,2,4,0.0,3,0.0,4,25.6,75.0,1,0.0,3,0.0,5,-1,20.0
Jaideep .,1,1,23:08,5,2,7,2,3,66.7,0,4,0.0,1,2,50.0,28.6,5,1,6,0.0,5,0.0,2,20.2,250.0,1,0.0,0,0.0,3,-1,9.0
Mahaveer .,1,1,15:52,0,0,3,0,3,0.0,0,0,0.0,0,0,0.0,0.0,0,1,1,0.0,1,0.0,3,50.0,33.3,0,0.0,0,0.0,2,-25,-4.0
Manik .,2,0,29:03,11,4,7,2,2,100.0,2,5,40.0,1,2,50.0,57.1,4,2,6,0.0,2,0.0,1,11.3,200.0,1,0.0,0,0.0,2,9,15.0
Rachit .,2,0,33:07,23,9,17,5,9,55.6,4,8,50.0,1,3,33.3,52.9,3,1,4,0.0,1,0.0,3,14.1,33.3,0,0.0,0,0.0,4,-24,15.0
Sahil .,1,0,0:55,0,0,1,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,-4,-1.0
Sajesh .,1,0,2:19,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,-1,1.0
Anatharaj Anantharaj,1,0,20:28,2,0,5,0,1,0.0,0,4,0.0,2,2,100.0,0.0,1,2,3,0.0,2,0.0,1,14.5,200.0,0,0.0,0,0.0,3,4,1.0
Arvind Arumugam,2,2,62:24,29,14,25,14,23,60.9,0,2,0.0,1,1,100.0,56.0,11,8,19,0.0,7,0.0,7,21.6,100.0,2,0.0,1,0.0,8,62,40.0
Soorya Baskaran,1,0,17:19,9,3,11,2,8,25.0,1,3,33.3,2,3,66.7,27.3,4,4,8,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,-2,8.0
Ravi Bhardwaj,2,2,24:00,4,2,7,2,6,33.3,0,1,0.0,0,0,0.0,28.6,4,0,4,0.0,2,0.0,3,30.0,66.7,0,0.0,0,0.0,2,-5,2.0
Vishesh Bhriguvanshi,2,2,36:05,13,5,16,2,7,28.6,3,9,33.3,0,1,0.0,31.3,4,1,5,0.0,13,0.0,5,23.3,260.0,4,0.0,0,0.0,1,-16,18.0
Nithin Biju,1,0,2:31,0,0,1,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,1,0.0,1,50.0,100.0,1,0.0,0,0.0,0,-4,0.0
Anil Kumar BK,2,0,33:37,31,12,16,6,6,100.0,6,10,60.0,1,2,50.0,75.0,5,0,5,0.0,5,0.0,2,10.6,250.0,1,0.0,0,0.0,3,27,35.0
Manoj BM,2,0,7:54,2,1,3,1,3,33.3,0,0,0.0,0,0,0.0,33.3,1,1,2,0.0,0,0.0,0,0.0,0.0,0,0.0,1,0.0,2,5,3.0
Likhit Bopanna,1,0,4:19,2,1,2,1,2,50.0,0,0,0.0,0,0,0.0,50.0,2,0,2,0.0,0,0.0,1,33.3,0.0,0,0.0,0,0.0,1,5,2.0
Palpreet Singh Brar,2,2,31:13,31,9,14,8,13,61.5,1,1,100.0,12,19,63.2,64.3,6,5,11,0.0,2,0.0,2,8.2,100.0,1,0.0,3,0.0,4,23,34.0
Satyajeet Chaprana,1,0,26:34,17,7,10,4,7,57.1,3,3,100.0,0,0,0.0,70.0,1,3,4,0.0,3,0.0,0,0.0,0.0,0,0.0,1,0.0,2,17,22.0
Harmanjot Singh Cheema,1,0,9:46,3,1,2,0,1,0.0,1,1,100.0,0,0,0.0,50.0,1,1,2,0.0,2,0.0,1,33.3,200.0,1,0.0,0,0.0,1,-1,6.0
Sharad Dadhich,1,1,7:25,0,0,3,0,3,0.0,0,0,0.0,0,0,0.0,0.0,3,0,3,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,-16,0.0
Harsh Dagar,2,2,75:32,58,24,57,16,37,43.2,8,20,40.0,2,4,50.0,42.1,5,4,9,0.0,12,0.0,7,10.6,171.4,4,0.0,0,0.0,5,-5,41.0
Gourav Daria,1,0,10:00,4,2,6,2,6,33.3,0,0,0.0,0,0,0.0,33.3,1,0,1,0.0,1,0.0,0,0.0,0.0,0,0.0,0,0.0,3,-4,2.0
Shivam Dhabhai,1,0,2:27,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,3,0.0
Arshneil Dhaliwal,1,0,4:30,4,2,3,2,3,66.7,0,0,0.0,0,0,0.0,66.7,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,2,3.0
Sanju Gajbhiye,1,1,35:53,9,3,13,1,10,10.0,2,3,66.7,1,4,25.0,23.1,2,1,3,0.0,7,0.0,5,25.3,140.0,3,0.0,0,0.0,2,-7,4.0
Jigrajsinh Gohil,1,1,32:57,17,6,15,5,11,45.5,1,4,25.0,4,4,100.0,40.0,2,2,4,0.0,1,0.0,5,23.0,20.0,0,0.0,1,0.0,1,-30,9.0
Krishnapalsinh Gohil,1,0,16:18,3,1,4,0,1,0.0,1,3,33.3,0,0,0.0,25.0,1,0,1,0.0,1,0.0,4,50.0,25.0,1,0.0,0,0.0,1,-13,-1.0
