Player,G,MPG,PPG,FGMPG,FGAPG,FG%,2PMPG,2PAPG,2P%,3PMPG,3PAPG,3P%,TSAPG,TS%,FTAPG,FTMPG,ORPG,DRPG,RPG,APG,STPG,TOPG,A/TO,BLKPG,PFPG,FOPG,EFF,eFG%,Off Rat
Aditya .,1,38.0,35.0,13.0,24.0,54.2,4.0,5.0,80.0,9.0,19.0,47.4,25.0,70.3,2.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,66.7,0.0,1.0,4.0,25.0,72.9,119.9
Aryan .,2,12.1,8.5,3.0,4.5,66.7,3.0,4.5,66.7,0.0,0.0,0.0,6.0,73.0,3.0,2.5,1.0,1.0,2.0,1.5,0.5,2.0,75.0,1.5,2.5,1.5,20.0,66.7,251.8
Jaideep .,1,23.2,5.0,2.0,7.0,28.6,2.0,3.0,66.7,0.0,4.0,0.0,8.0,31.7,2.0,1.0,1.0,5.0,6.0,5.0,1.0,2.0,250.0,0.0,3.0,2.0,9.0,28.6,-95.4
Mahaveer .,1,15.9,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,33.3,0.0,2.0,1.0,-4.0,0.0,0.0
Manik .,2,14.5,5.5,2.0,3.5,57.1,1.0,1.0,100.0,1.0,2.5,40.0,4.0,69.8,1.0,0.5,1.0,2.0,3.0,1.0,0.5,0.5,200.0,0.0,1.0,2.0,15.0,71.4,36.7
Rachit .,2,16.6,11.5,4.5,8.5,52.9,2.5,4.5,55.6,2.0,4.0,50.0,9.0,62.8,1.5,0.5,0.5,1.5,2.0,0.5,0.0,1.5,33.3,0.0,2.0,1.0,15.0,64.7,72.5
Sahil .,1,0.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
Sajesh .,1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Anatharaj Anantharaj,1,20.5,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,17.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,200.0,0.0,3.0,2.0,1.0,0.0,-10.2
Arvind Arumugam,2,31.2,14.5,7.0,12.5,56.0,7.0,11.5,60.9,0.0,1.0,0.0,12.5,57.0,0.5,0.5,4.0,5.5,9.5,3.5,1.0,3.5,100.0,0.5,3.0,2.5,40.0,56.0,-99.2
Soorya Baskaran,1,17.3,9.0,3.0,11.0,27.3,2.0,8.0,25.0,1.0,3.0,33.3,12.0,36.5,3.0,2.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,31.8,-21.6
Ravi Bhardwaj,2,12.0,2.0,1.0,3.5,28.6,1.0,3.0,33.3,0.0,0.5,0.0,3.5,28.6,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.5,66.7,0.0,0.5,0.0,2.0,28.6,0.0
Vishesh Bhriguvanshi,2,18.0,6.5,2.5,8.0,31.3,1.0,3.5,28.6,1.5,4.5,33.3,8.0,39.5,0.5,0.0,0.5,2.0,2.5,6.5,2.0,2.5,260.0,0.0,0.5,0.5,18.0,40.6,41.1
Nithin Biju,1,2.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Anil Kumar BK,2,16.8,15.5,6.0,8.0,75.0,3.0,3.0,100.0,3.0,5.0,60.0,8.5,91.8,1.0,0.5,0.0,2.5,2.5,2.5,0.5,1.0,250.0,0.0,1.5,0.5,35.0,93.8,601.2
Manoj BM,2,4.0,1.0,0.5,1.5,33.3,0.5,1.5,33.3,0.0,0.0,0.0,1.5,33.3,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,3.0,33.3,0.0
Likhit Bopanna,1,4.3,2.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,50.0,0.0
Palpreet Singh Brar,2,15.6,15.5,4.5,7.0,64.3,4.0,6.5,61.5,0.5,0.5,100.0,11.0,69.3,9.5,6.0,2.5,3.0,5.5,1.0,0.5,1.0,100.0,1.5,1.5,5.5,34.0,67.9,660.4
