Team,GP,W,L,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,REB.1,AST,STL,TO,BLK,BLKR,PF,Fls On,FBP,PFT,PIP,2CP,BP,Pts,Pts Agt,Pts/Poss,Eff
Chhattisgarh,1,0,1,23,80,28.8,19,49,38.8,4,31,12.9,5,10,50.0,17,33,47,50,9,11,15,3,2,17,12,15,13,32,6,37,55,68,0.7,51.0
Delhi,2,1,1,46,141,32.6,32,86,37.2,14,55,25.5,13,24,54.2,30,67,83,97,32,17,55,3,5,21,29,24,15,58,24,28,119,156,0.7,111.0
Gujarat,1,0,1,9,58,15.5,8,47,17.0,1,11,9.1,5,7,71.4,9,29,33,38,7,9,35,1,5,13,8,2,2,14,2,5,24,89,0.3,-2.0
Indian Railways,2,2,0,79,198,39.9,66,131,50.4,13,67,19.4,25,35,71.4,53,67,105,120,48,37,24,4,4,28,24,41,63,108,65,103,196,116,1.1,267.0
Karnataka,2,1,1,52,138,37.7,33,78,42.3,19,60,31.7,33,43,76.7,24,65,73,89,38,18,37,8,3,19,33,28,32,54,29,25,156,166,0.9,184.0
Kerala,2,2,0,72,154,46.8,56,109,51.4,16,45,35.6,17,33,51.5,33,67,90,100,48,35,29,7,3,16,23,51,67,104,24,74,177,58,1.1,250.0
Madhya Pradesh,2,0,2,37,139,26.6,24,79,30.4,13,60,21.7,12,21,57.1,24,42,50,66,26,18,45,3,10,25,22,14,15,40,9,36,99,160,0.6,72.0
Maharashtra,1,0,1,31,92,33.7,23,52,44.2,8,40,20.0,1,3,33.3,26,24,46,50,18,10,19,1,5,17,4,24,16,34,11,27,71,91,0.9,68.0
Tamil Nadu,2,2,0,68,158,43.0,52,107,48.6,16,51,31.4,21,32,65.6,38,59,88,97,48,35,32,11,4,27,24,51,68,96,48,72,173,98,1.1,240.0
West Bengal,1,0,1,12,56,21.4,10,37,27.0,2,19,10.5,7,10,70.0,10,22,24,32,4,5,38,3,3,9,13,4,6,12,12,15,33,101,0.4,0.0
