Team,GP,W,L,PPG,Ave Pts Agt,FGMPG,2PMPG,2PAPG,2P%,3PMPG,3PAPG,3P%,FTMPG,FTAPG,FT%,ORPG,DRPG,RPG,APG,TOPG,A/TO,STPG,BLKPG,PFTPG,FBPPG,PIPPG,2CPPG,Avg Poss,Pts/Poss,Pts Agt/Poss,Eff
Chhattisgarh,1,0,1,55.0,68.0,23.0,19.0,49.0,38.8,4.0,31.0,12.9,5.0,10.0,50.0,17.0,33.0,50.0,9.0,15.0,60.0,11.0,3.0,13.0,15.0,32.0,6.0,81.3,0.7,0.8,51.0
Delhi,2,1,1,59.5,78.0,23.0,16.0,43.0,37.2,7.0,27.5,25.5,6.5,12.0,54.2,15.0,33.5,48.5,16.0,27.5,58.2,8.5,1.5,7.5,12.0,29.0,12.0,86.0,0.7,0.9,111.0
Gujarat,1,0,1,24.0,89.0,9.0,8.0,47.0,17.0,1.0,11.0,9.1,5.0,7.0,71.4,9.0,29.0,38.0,7.0,35.0,20.0,9.0,1.0,2.0,2.0,14.0,2.0,84.0,0.3,1.1,-2.0
Indian Railways,2,2,0,98.0,58.0,39.5,33.0,65.5,50.4,6.5,33.5,19.4,12.5,17.5,71.4,26.5,33.5,60.0,24.0,12.0,200.0,18.5,2.0,31.5,20.5,54.0,32.5,88.1,1.1,0.7,267.0
Karnataka,2,1,1,78.0,83.0,26.0,16.5,39.0,42.3,9.5,30.0,31.7,16.5,21.5,76.7,12.0,32.5,44.5,19.0,18.5,102.7,9.0,4.0,16.0,14.0,27.0,14.5,84.2,0.9,1.0,184.0
Kerala,2,2,0,88.5,29.0,36.0,28.0,54.5,51.4,8.0,22.5,35.6,8.5,16.5,51.5,16.5,33.5,50.0,24.0,14.5,165.5,17.5,3.5,33.5,25.5,52.0,12.0,81.1,1.1,0.4,250.0
Madhya Pradesh,2,0,2,49.5,80.0,18.5,12.0,39.5,30.4,6.5,30.0,21.7,6.0,10.5,57.1,12.0,21.0,33.0,13.0,22.5,57.8,9.0,1.5,7.5,7.0,20.0,4.5,79.7,0.6,1.0,72.0
Maharashtra,1,0,1,71.0,91.0,31.0,23.0,52.0,44.2,8.0,40.0,20.0,1.0,3.0,33.3,26.0,24.0,50.0,18.0,19.0,94.7,10.0,1.0,16.0,24.0,34.0,11.0,82.9,0.9,1.1,68.0
Tamil Nadu,2,2,0,86.5,49.0,34.0,26.0,53.5,48.6,8.0,25.5,31.4,10.5,16.0,65.6,19.0,29.5,48.5,24.0,16.0,150.0,17.5,5.5,34.0,25.5,48.0,24.0,82.2,1.1,0.6,240.0
West Bengal,1,0,1,33.0,101.0,12.0,10.0,37.0,27.0,2.0,19.0,10.5,7.0,10.0,70.0,10.0,22.0,32.0,4.0,38.0,10.5,5.0,3.0,6.0,4.0,12.0,12.0,83.0,0.4,1.2,0.0
